domain,data_format,scale,objective,annotation_type,title,url
Power,Structured,Large,System Analysis,Anonymized,Daily profiles (2040) of load and flexibility of an urban electricity distribution network from Portugal  ATTEST project,https://zenodo.org/records/6401465
Power,Structured,Large,System Analysis,Anonymized,Daily profiles (2020) of load of a electricity distribution network (86 nodes) from Croatia,https://zenodo.org/records/6382254
Power,Structured,Small,System Analysis,Curated,CarbonDistributionMap  Code and Dataset for  Open Datasets for Grid Modeling and Visualization  An Alberta Power Network Case   ,https://github.com/BenCheng2/CarbonDistributionMap/tree/main
Power,Structured,Large,System Analysis,Anonymized,caltech-netlab digital-twin-dataset   ,https://github.com/caltech-netlab/digital-twin-dataset/tree/master
Power,Structured,Large,System Analysis,Synthetic,"OEDI  SMART-DS Synthetic Electrical Network Data OpenDSS Models for SFO, GSO, and AUS",https://data.openei.org/submissions/2981
Power,Structured,Large,System Analysis,Anonymized,OpenSynth D-GITT-RTE7000-2021   Datasets at Hugging Face,https://huggingface.co/datasets/OpenSynth/D-GITT-RTE7000-2021
Power,Structured,Large,System Analysis,Curated,Africa - Electricity Transmission and Distribution Grid Map,https://datacatalog.worldbank.org/search/dataset/0040465/africa-electricity-transmission-and-distribution-grid-map
Power,Structured,Large,System Analysis,Curated,Electricity Transmission Lines  Digital Atlas of Australia,https://digital.atlas.gov.au/datasets/digitalatlas::electricity-transmission-lines/about
Power,Structured,,System Analysis,Curated,Derived map of global electricity transmission and distribution lines Dataset,https://energydata.info/dataset/derived-map-of-global-electricity-transmission-and-distribution-lines
Power,Structured,Large,System Analysis,Curated,A large synthetic dataset for machine learning applications in power transmission grids,https://zenodo.org/records/13378476
Power,Structured,Large,System Analysis,Anonymized,Columbia University Synthetic Power Grid with Geographical Coordinates,https://wimnet.ee.columbia.edu/portfolio/synthetic-power-grids-data-sets/
Power,Structured,Large,System Analysis,Synthetic,synthetic power grid dataset,https://zenodo.org/records/14272557
Power,Structured,Large,System Analysis,Anonymized,Item - Node information of Chilean power grid without tap,https://figshare.com/articles/dataset/Node_information_of_Chilean_power_grid_without_tap/6066578?file=10920506
Power,Structured,Large,System Analysis,Curated,Item - 60kV Grid-Topology - Technical University of Denmark,https://data.dtu.dk/articles/dataset/60kV_Grid-Topology/14501406
Power,Structured,Small,System Analysis,Anonymized,European power grid network with nodal prices,https://zenodo.org/records/7037956
Power,Structured,Large,System Analysis,Curated,ECOWAS Region - Existing and Planned Transmission Grid - Dataset - ,https://energydata.info/dataset/transmission-grid-ecowas-region
Power,Structured,Large,System Analysis,Anonymized,Medium-Voltage Distribution (Predictive) - Dataset,https://energydata.info/dataset/medium-voltage-distribution-predictive
Power,Structured,Large,System Analysis,Curated,Dominican Republic Electricity Transmission Network 2023 - Dataset - ,https://energydata.info/dataset/dominican-republic-electricity-transmission-network-2023
Power,Structured,Large,System Analysis,Curated,Liberia electricity transmission network 2023 - Dataset - ,https://energydata.info/dataset/liberia-electricity-transmission-network-2023
Power,Structured,Large,System Analysis,Curated,Egypt - Electricity Transmission Network - Dataset - ,https://energydata.info/dataset/egypt-electricity-transmission-network-2017
Power,Structured,Large,System Analysis,Curated,Yemen - Electricity Transmission Network - Dataset - ,https://energydata.info/dataset/yemen-electricity-transmission-network-2017
Power,Structured,Large,System Analysis,Curated,e2nIEE simbench  Electrical Power System Benchmark Dataset directly usable with pandapower (use the project website for Executable tools),https://github.com/e2nIEE/simbench
Power,Structured,Large,"Decision Making, System Analysis",Curated,PyPSA pypsa-eur  PyPSA-Eur  A Sector-Coupled Open Optimisation Model of the European Energy System,https://github.com/PyPSA/pypsa-eur/tree/master
Power,Structured,Large,"Decision Making, System Analysis",Curated,PyPSA-USA  An Open-Source Energy System Optimization Model for the United States,https://zenodo.org/records/18601519
Power,Structured,Large,System Analysis,Curated,MATPOWER,https://zenodo.org/records/15871662
Power,Structured,Large,System Analysis,Curated,SDET Collection,https://db.bettergrids.org/handle/1001/97
Power,Structured,Large,System Analysis,Curated,Line list for the transmission grid in Germany and interconnectors in 2030 lines_eom_plus lines_transmission_germany_eomplus,https://openenergyplatform.org/database/tables/lines_transmission_germany_eomplus
